"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","QALY_baby","LE_loss","QALY_loss","n_sim"
"98",7,0,0,1,73.202848642459,73.2028487252173,73.0539582575072,73.2028487252173,-4.22693666494346,8.2758305097741e-08,0.148890467710089,9
"99",12,0,0,1,68.2370230643396,68.2370235451192,68.0971035690545,68.2370235451192,-4.22693666494346,4.80779661415909e-07,0.139919976064661,9
"100",17,0,0,1,63.2956508047164,63.295653598944,63.1646580510686,63.2956535989441,-4.22693666494346,2.79422759064119e-06,0.130995547875422,9
"101",22,0,0,1,58.4119863260641,58.4120026000562,58.2898172642342,58.4120026000562,-4.22693666494346,1.62739920739341e-05,0.122185335821975,9
"102",27,0,0,1,53.574938902228,53.5749965228312,53.4615111461595,53.5749965228312,-4.22693666494346,5.76206031865922e-05,0.113485376671719,9
"103",32,0,0,1,48.7745280825399,48.7746559484144,48.6697775941875,48.7746559484144,-4.22693666494346,0.000127865874510746,0.104878354226948,9
"104",37,0,0,1,44.0157759407202,44.0159889229955,43.9196276071209,44.0159889229955,-4.22693666494346,0.00021298227533606,0.0963613158746455,9
"105",42,0,0,1,39.296316758874,39.2966203508564,39.2086976468753,39.2966203508563,-4.22693666494346,0.000303591982408591,0.087922703981036,9
"106",50,0,0,1,31.9070868078449,31.9075262079402,31.8328140896837,31.9075262079402,-4.22693666494346,0.00043940009527077,0.0747121182565103,9
"107",60,0,0,1,23.1742930276089,23.1744201591943,23.115741110901,23.1744201591943,-4.22693666494346,0.000127131585347939,0.0586790482932535,9
"108",76,0,0,1,10.447203002143,10.447299978622,-0.124576079816279,10.447299978622,-4.22693666494346,9.69764789786609e-05,10.5718760584383,9
"109",2,0,0,1,78.146820927091,78.1470019031486,77.3485720322971,78.1470019031486,-3.69742869758286,0.000180976057578164,0.798429870851535,10
"110",7,0,0,1,73.2025876841056,73.2028487252173,72.4638970488714,73.2028487252173,-3.69742869758286,0.000261041111755844,0.738951676345863,10
"111",12,0,0,1,68.2366471125397,68.2370235451192,67.5575193222631,68.2370235451192,-3.69742869758286,0.000376432579500374,0.679504222856082,10
"112",17,0,0,1,63.2951105420283,63.295653598944,62.6750087798634,63.2956535989441,-3.69742869758286,0.000543056915660145,0.620644819080674,10
"113",22,0,0,1,58.4112183481734,58.4120026000562,57.8492193333231,58.4120026000562,-3.69742869758286,0.000784251882777198,0.562783266733106,10
"114",27,0,0,1,53.5738947823518,53.5749965228312,53.0691020946151,53.5749965228312,-3.69742869758286,0.00110174047942735,0.505894428216116,10
"115",32,0,0,1,48.7732120723054,48.7746559484144,48.3246878507511,48.7746559484144,-3.69742869758286,0.00144387610900054,0.449968097663344,10
"116",37,0,0,1,44.0142537429529,44.0159889229955,43.6208272204353,44.0159889229955,-3.69742869758286,0.00173518004254447,0.395161702560202,10
"117",42,0,0,1,39.2947118393399,39.2966203508564,38.9549735039013,39.2966203508563,-3.69742869758286,0.00190851151641169,0.341646846955015,10
"118",50,0,0,1,31.9057465502551,31.9075262079402,31.6474817872353,31.9075262079402,-3.69742869758286,0.00177965768506283,0.260044420704876,10
"119",60,0,0,1,23.173318933886,23.1744201591943,23.0055796217652,23.1744201591943,-3.69742869758286,0.00110122530833578,0.168840537429116,10
"120",76,0,0,1,10.446958658225,10.447299978622,-0.0712300345977642,10.447299978622,-3.69742869758286,0.000341320396954004,10.5185300132197,10
