"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss","n_sim"
"16",17,0,0,0,63.2956471781983,63.295653598944,63.1655260542322,63.2956535989441,6.42074567736017e-06,0.13012754471189,2
"17",22,0,0,0,58.4119679628069,58.4120026000562,58.294502347536,58.4120026000562,3.46372493496006e-05,0.117500252520209,2
"18",27,0,0,0,53.5748772062974,53.5749965228312,53.4707852096879,53.5749965228312,0.000119316533840674,0.104211313143303,2
"19",32,0,0,0,48.7743398814432,48.7746559484144,48.6686327032438,48.7746559484144,0.000316066971180362,0.106023245170633,2
"20",37,0,0,0,44.0153504419592,44.0159889229955,43.9003473410204,44.0159889229955,0.000638481036311589,0.115641581975176,2
"21",42,0,0,0,39.2956750764975,39.2966203508564,39.1858198012843,39.2966203508563,0.000945274358898018,0.110800549572019,2
"22",50,0,0,0,31.9062586676264,31.9075262079402,31.8081985970102,31.9075262079402,0.00126754031380116,0.099327610929933,2
"23",60,0,0,0,23.1738308552964,23.1744201591943,23.1002343629408,23.1744201591943,0.000589303897900351,0.0741857962534382,2
"24",76,0,0,0,10.447013819933,10.447299978622,10.4080838757998,10.447299978622,0.000286158688965088,0.0392161028222127,2
"25",2,0,0,0,78.1469998662394,78.1470019031486,77.5320224957812,78.1470019031486,2.03690920841382e-06,0.614979407367485,3
"26",7,0,0,0,73.2028457038345,73.2028487252173,72.7250934401564,73.2028487252173,3.02138282393116e-06,0.477755285060908,3
"27",12,0,0,0,68.2370190516932,68.2370235451192,67.9335151237676,68.2370235451192,4.49342597619307e-06,0.303508421351609,3
"28",17,0,0,0,63.2956426121135,63.295653598944,63.1017368762181,63.2956535989441,1.09868304747351e-05,0.193916722725952,3
"29",22,0,0,0,58.4119607039492,58.4120026000562,58.2461198532084,58.4120026000562,4.18961070636215e-05,0.165882746847835,3
"30",27,0,0,0,53.5748609992037,53.5749965228312,53.430156268407,53.5749965228312,0.000135523627513123,0.144840254424132,3
"31",32,0,0,0,48.7742054092532,48.7746559484144,48.5896953215491,48.7746559484144,0.000450539161249708,0.184960626865276,3
"32",37,0,0,0,44.0149532218796,44.0159889229955,43.7603938152076,44.0159889229955,0.00103570111591011,0.25559510778794,3
"33",42,0,0,0,39.2950785761107,39.2966203508564,39.020345192597,39.2966203508563,0.00154177474567518,0.276275158259345,3
"34",50,0,0,0,31.9058396324545,31.9075262079402,31.660548516718,31.9075262079402,0.00168657548567808,0.246977691222195,3
"35",60,0,0,0,23.1733060722952,23.1744201591943,23.0179933770006,23.1744201591943,0.00111408689911485,0.156426782193719,3
"36",76,0,0,0,10.446973644434,10.447299978622,10.4001941984318,10.447299978622,0.000326334188022415,0.0471057801902131,3
"37",2,0,0,0,78.146994848058,78.1470019031486,77.3389240042329,78.1470019031486,7.05509060594522e-06,0.808077898915769,4
"38",7,0,0,0,73.2028374585307,73.2028487252173,72.5470036867944,73.2028487252173,1.12666865845767e-05,0.655845038422854,4
"39",12,0,0,0,68.2370055215889,68.2370235451192,67.7817549717449,68.2370235451192,1.80235302877918e-05,0.45526857337434,4
"40",17,0,0,0,63.2956125937222,63.295653598944,62.9745180182614,63.2956535989441,4.10052218029477e-05,0.321135580682672,4
"41",22,0,0,0,58.4118759650997,58.4120026000562,58.1337352627743,58.4120026000562,0.000126634956487237,0.278267337281903,4
"42",27,0,0,0,53.5746445246358,53.5749965228312,53.3243749305146,53.5749965228312,0.000351998195441183,0.250621592316591,4
"43",32,0,0,0,48.7737147000533,48.7746559484144,48.4772984152549,48.7746559484144,0.000941248361080227,0.29735753315947,4
"44",37,0,0,0,44.014164089271,44.0159889229955,43.6565710496293,44.0159889229955,0.00182483372446285,0.359417873366255,4
"45",42,0,0,0,39.294088852501,39.2966203508564,38.9334836594212,39.2966203508563,0.00253149835538125,0.363136691435109,4
"46",50,0,0,0,31.904836480837,31.9075262079402,31.5975549064949,31.9075262079402,0.00268972710322402,0.309971301445234,4
"47",60,0,0,0,23.1726532541656,23.1744201591943,22.9765912711679,23.1744201591943,0.00176690502864929,0.197828888026393,4
"48",76,0,0,0,10.4467581878366,10.447299978622,10.3890802599516,10.447299978622,0.000541790785414165,0.0582197186703883,4
"49",2,0,0,0,78.1469997998572,78.1470019031486,77.4948595723473,78.1470019031486,2.10329136507426e-06,0.652142330801325,5
"50",7,0,0,0,73.2028446004884,73.2028487252173,72.6539842782336,73.2028487252173,4.12472894595339e-06,0.548864446983742,5
"51",12,0,0,0,68.2370154428087,68.2370235451192,67.8425047850917,68.2370235451192,8.10231054515498e-06,0.394518760027452,5
"52",17,0,0,0,63.2956308707397,63.295653598944,63.0226083902264,63.2956535989441,2.27282043425703e-05,0.273045208717612,5
"53",22,0,0,0,58.4119115297177,58.4120026000562,58.1742691880255,58.4120026000562,9.10703384988665e-05,0.237733412030678,5
"54",27,0,0,0,53.5747128031811,53.5749965228312,53.3683661663582,53.5749965228312,0.000283719650049363,0.206630356473021,5
"55",32,0,0,0,48.7738491110454,48.7746559484144,48.5419099496602,48.7746559484144,0.000806837369005109,0.232745998754197,5
"56",37,0,0,0,44.014274231448,44.0159889229955,43.7316507015094,44.0159889229955,0.00171469154744841,0.284338221486152,5
"57",42,0,0,0,39.2941092356233,39.2966203508564,39.0111697154634,39.2966203508563,0.00251111523306236,0.285450635392905,5
"58",50,0,0,0,31.9045676465502,31.9075262079402,31.6543378435563,31.9075262079402,0.00295856138997053,0.253188364383874,5
"59",60,0,0,0,23.1726156350756,23.1744201591943,23.0056397531371,23.1744201591943,0.00180452411872878,0.168780406057149,5
"60",76,0,0,0,10.4466586006841,10.447299978622,10.3899226085939,10.447299978622,0.000641377937894205,0.0573773700280835,5
"61",2,0,0,0,78.1469984052627,78.1470019031486,77.5498544313047,78.1470019031486,3.49788585651822e-06,0.597147471843954,6
"62",7,0,0,0,73.2028440688208,73.2028487252173,72.7463066100697,73.2028487252173,4.6563964986035e-06,0.456542115147556,6
