"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other","n_sim"
"26",7,0.000753451487060252,0.00598893026463909,0,0,0.000185608698382789,0.0329839406759539,0.00100330285162857,2.06704866205267e-05,0,1.61072001599328e-09,1.73835593705693,3
"27",12,0.000753451079928545,0.00598887681868492,0,0,0.000185511572637097,0.0321009841037395,0.00100324930706101,2.06595048468763e-05,0,2.68782015551034e-08,2.04161023086712,3
"28",17,0.000753442605520775,0.00598784463588814,0,0,0.000185197806168047,0.0311067342793657,0.00100270893341529,2.06241758558177e-05,0,4.49541598899043e-07,2.35624278160316,3
"29",22,0.000753432346232203,0.0059866006785366,0,0,0.000184904741543921,0.0300516178829521,0.00100209144311321,2.0591307758459e-05,0,7.46959060951153e-06,2.63938697060456,3
"30",27,0.000753427698160425,0.00598603777995497,0,0,0.00018476180861552,0.0288955166424704,0.00100181435227306,2.05755859879523e-05,0,3.48554055622957e-05,2.90010939576425,3
"31",32,0.000753424016822036,0.00598559044344783,0,0,0.000184623363536301,0.027569331091335,0.00100158493960725,2.05606386230955e-05,0,8.17831797979285e-05,3.18421830016312,3
"32",37,0.000753419261808477,0.0059850130154742,0,0,0.000184444383619753,0.0260382732790734,0.00100129107494679,2.05413044383521e-05,0,0.000138148577501828,3.49801252612275,3
"33",42,0.000753412911796415,0.00598423734556746,0,0,0.00018411700039335,0.0242668231816872,0.00100086583331473,2.05053985491852e-05,0,0.000201928060464087,3.84763819588799,3
"34",50,0.000753378820687539,0.00598008823180741,0,0,0.000182702730643884,0.0209544184698262,0.000998680458929268,2.03489177194372e-05,0,0.00036704787157144,4.40115211840191,3
"35",60,0.000753281659112489,0.00596829976327549,0,0,0.000179279109974405,0.0163121113899661,0.000992610992810892,1.99591419396174e-05,0,7.45964659106196e-05,4.67821751530609,3
"36",76,0.000752882620105059,0.00592012851748566,0,0,0.000164721280069853,0.00748647960334404,0.000967799553173448,1.83217682070678e-05,0,0.000100704714353112,3.39581828577532,3
"37",2,0.000252504682889408,0.00575996844731646,0,0,0.00053870567092408,0.0649498610209186,0.000402375518509171,1.83363684140826e-05,0,2.12598159854117e-09,1.49172193112611,4
"38",7,0.000252505178127646,0.00576026993690239,0,0,0.000538827830407017,0.0635166521692654,0.000402431836445814,1.83405348110298e-05,0,2.18703417918553e-08,1.73835593479382,4
"39",12,0.000252505095544495,0.00576021306844658,0,0,0.000538448039576281,0.0617885737258333,0.000402409036914778,1.83275362369032e-05,0,2.2585007275947e-07,2.0416102085792,4
"40",17,0.000252503376575989,0.00575915207662226,0,0,0.000537393122410323,0.0598440702690909,0.000402185589708508,1.82914914269128e-05,0,2.33913718048842e-06,2.35624257043865,4
"41",22,0.000252501295537695,0.00575787608406126,0,0,0.000536444380991689,0.0577792778206552,0.000401931072445164,1.8259225800053e-05,0,2.4109532287952e-05,2.63938510624942,4
"42",27,0.000252500352695426,0.00575729897508289,0,0,0.000535964345038318,0.0555150314159865,0.00040181687974479,1.82433128884858e-05,0,9.52471928816332e-05,2.90010208045947,4
"43",32,0.000252499605947798,0.00575683958231904,0,0,0.000535483572621983,0.0529175206235994,0.000401722112858012,1.82277131583804e-05,0,0.000211302856201721,3.18420081250129,4
"44",37,0.000252498641404356,0.00575624675961044,0,0,0.000534846667033664,0.0499193173188647,0.00040160078280368,1.82069914677935e-05,0,0.000348318992050274,3.49798042338991,4
"45",42,0.00025249735331169,0.00575544808848202,0,0,0.000533649520527702,0.0464522269018435,0.00040142441668176,1.81673442069475e-05,0,0.00050356589349753,3.847585673773,4
"46",50,0.0002524904378228,0.00575118277205496,0,0,0.000528710360413332,0.0399795828567937,0.000400520222146529,1.80017993138216e-05,0,0.000866127372216749,4.40104802239556,4
"47",60,0.000252470726935596,0.0057390755160875,0,0,0.000517087143442228,0.0309219721768304,0.000398012479758038,1.75999587250059e-05,0,0.000242034257018459,4.67817336165684,4
"48",76,0.000252389753997548,0.00568961503747742,0,0,0.000467256989977723,0.0137958936690559,0.000387758486301647,1.58986525443098e-05,0,0.000239092098499406,3.39577878353048,4
"49",2,0.000291770217512726,0.00519356015135087,0,0,0.000198360591522147,0.0225499838722548,0.00187888692221448,1.45289863691635e-05,0,7.31436187569496e-15,1.49172193136149,5
"50",7,0.000291771881851958,0.00519376008290712,0,0,0.000198404830107488,0.0220781802292262,0.00187913692525484,1.45323376927877e-05,0,1.03167083357256e-12,1.73835593723286,5
"51",12,0.00029177160431364,0.00519372631569457,0,0,0.000198364357077364,0.0215078638416656,0.0018790426531133,1.45291575714714e-05,0,1.4667889805011e-10,2.04161023379099,5
"52",17,0.000291765827460772,0.00519303143876202,0,0,0.000198150083786871,0.0208646558097474,0.0018780643022792,1.4512729699982e-05,0,2.08518580499687e-08,2.35624282834227,5
