"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other","n_sim"
"14",7,0.000584994645976885,0.0146605145108138,0,0,0.000784980871343604,0.062455082110378,0.00591670508452981,8.97331575271059e-05,0,1.23331955287757e-07,1.11560280648705,2
"15",12,0.000584972460851565,0.0146586611733447,0,0,0.000682104822197665,0.0532385795020296,0.00588842869517669,7.73377482110259e-05,0,4.52235093400633e-07,1.30726335251284,2
"16",17,0.000579001335723942,0.0142275691015302,0,0,0.000555242226872876,0.0422497532215471,0.00542833680316821,6.24139628399718e-05,0,2.18934067432084e-06,1.51489246317612,2
"17",22,0.000578995620781817,0.0142260987876508,0,0,0.00053519842670485,0.0395283058285799,0.00541927069646552,6.00022995831485e-05,0,1.3962452662112e-05,1.73160524828925,2
"18",27,0.000576860629892061,0.0140741700588861,0,0,0.000506881205534046,0.0360453989082621,0.00526425932287398,5.67165818785367e-05,0,5.34174892210528e-05,1.95631270587898,2
"19",32,0.000576854045219438,0.014072652611789,0,0,0.000567970629173436,0.0384254398801312,0.00528068806569718,6.4080009148899e-05,0,0.00015288741784445,2.20039594180444,2
"20",37,0.000582349779583267,0.0144632384689233,0,0,0.00069597603682861,0.0444556517138299,0.00568855992768055,7.91910820135943e-05,0,0.000334835396116137,2.46000219807276,2
"21",42,0.000582338561210976,0.0144604560921325,0,0,0.000743869235284234,0.0442954134892372,0.00569553666894437,8.49728248975816e-05,0,0.000539346320462222,2.73857171114598,2
"22",50,0.000584913751743294,0.0146399519352947,0,0,0.00080765648008389,0.0420156747411147,0.00588904954821523,9.25193244051033e-05,0,0.000844747313860543,3.16731396905516,2
"23",60,0.000584812026569643,0.0146142557175428,0,0,0.000789250733688825,0.0323870235668781,0.00585534771325871,9.03211146441208e-05,0,0.000443303079501104,3.44313265221415,2
"24",76,0.000584273249499947,0.0144782419666757,0,0,0.000683738696893729,0.0133788932054365,0.00567260924678416,7.77558853446115e-05,0,0.000288157831746874,2.68327962137537,2
"25",2,0.00075948498971652,0.00705670835730033,0,0,0.0010271882572631,0.185247428025223,0.00124441528903694,0.000115933970428044,0,3.91706664407723e-07,0.959920069098873,3
"26",7,0.000759486623248401,0.00705696242539332,0,0,0.000870644901969828,0.15513293308207,0.0012445308322631,9.81978067499814e-05,0,6.84629370800014e-07,1.11560275426955,3
"27",12,0.000759461558753001,0.00705607373675522,0,0,0.00060109481874831,0.105660887222465,0.00124416445776832,6.76583343297168e-05,0,1.20160077329689e-06,1.30726327934427,3
"28",17,0.000752672998341271,0.00682745238419062,0,0,0.000411391176370536,0.070597895639262,0.00118888817939076,4.61850035098897e-05,0,3.4716071636253e-06,1.514892322948,3
"29",22,0.000752669717351338,0.00682693279492069,0,0,0.000380822281665076,0.0634067573280533,0.00118861710648903,4.27218680463854e-05,0,1.56270457247948e-05,1.73160494415175,3
"30",27,0.000750239700965186,0.0067468262343924,0,0,0.00035950220955242,0.0571293287035476,0.00117014563865095,4.03135189735838e-05,0,5.55338433926977e-05,1.95631176524458,3
"31",32,0.000750235942906032,0.00674623918839178,0,0,0.000508160349066114,0.074828938053684,0.00116986538301322,5.71585257036998e-05,0,0.000197619722194471,2.20038812198611,3
"32",37,0.000756496933790774,0.0069533241692926,0,0,0.000797694526324121,0.108290102981345,0.00121817663816007,8.99498940600688e-05,0,0.000497173243849163,2.45997531427245,3
"33",42,0.000756490434725921,0.00695229515447009,0,0,0.00099121497048657,0.122628827290031,0.00121766612437626,0.000111881326795989,0,0.000815204918308495,2.738523294043,3
"34",50,0.000759439445067191,0.00704946818100442,0,0,0.00114339939845653,0.121339346280761,0.00124051066629261,0.000129121195737148,0,0.00105020455554937,3.16726773221423,3
"35",60,0.000759380107877672,0.00704007545077181,0,0,0.00106096977247902,0.0868440631390154,0.00123556338013696,0.000119784318816081,0,0.000815270971906545,3.44305477619907,3
"36",76,0.000759065645053986,0.00699042667724981,0,0,0.000740285634093747,0.0285919323561938,0.00120908909564646,8.34594707201024e-05,0,0.000316863191791698,2.6832766345725,3
"37",2,0.000253745581708551,0.0060193241608651,0,0,0.00203988669682402,0.244811005966395,0.000444300974491735,6.97385938754038e-05,0,1.31641819570765e-06,0.959919980195339,4
"38",7,0.00025374591120096,0.00601953177628159,0,0,0.00180388399782427,0.213447558643734,0.000444342466786614,6.1655712975628e-05,0,2.47808921663684e-06,1.11560258089288,4
